,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
193006, -20.90, -17.80, -22.86, -14.42, -29.62, -30.13, -24.12, -21.39, -14.65, -15.03, -26.73, -20.36, -16.53, -11.12, -18.66, -24.33, -20.06, -15.57, -13.56, -18.31, -23.39, -18.23, -18.87, -11.88, -15.29
193007,   4.56,   1.19,   2.09,  -0.19,  14.37,   1.66,   3.44,   7.44,   1.72,   2.72,  11.69,   2.42,   3.73,   2.35,   4.70,   5.83,   3.69,   6.28,   3.67,   3.04,   2.18,   6.48,   8.21,   3.97,   2.96
193008,  -6.11,  -2.52,   0.86,  -8.19,  -1.42,  -1.60,  -2.80,  -2.52,  -3.25,   2.22,  -4.43,  -2.55,  -5.19,   1.01,   0.77,  -1.81,  -2.63,   0.90,  -0.25,   0.27,   4.53,  -4.29,   1.68,   1.45,   0.50
193009, -23.61, -20.54, -15.97, -20.31,  -3.46, -20.27, -21.05, -15.54, -10.94, -12.67, -21.73, -14.15, -17.22, -10.35, -11.89, -22.90, -17.02, -12.52, -13.64,  -8.99, -23.26, -20.18, -12.73, -10.18, -11.09
193010, -11.65, -20.78,  -4.07, -10.96,  -3.43, -14.41,  -9.50, -13.97,   2.26,  -6.74, -18.03,  -9.88, -10.87,  -8.42,  -8.74, -12.12, -13.51, -11.19,  -6.34,  -6.88, -16.81, -17.63, -10.17,  -6.29,  -8.51
193011,  -0.48,  -0.93,  -3.10,  -8.96,  11.60,   0.24,  -3.29,  -2.26,   1.61,  -1.15,  -2.11,  -3.78,  -2.24,  -3.71,  -0.72,   4.70,  -1.00,  -3.91,  -2.12,  -0.91,   5.97,  -2.13,  -3.04,  -1.97,  -3.27
193012, -23.18, -20.48, -25.25, -18.89, -14.49, -24.85, -21.16, -14.61, -13.90, -12.57, -12.40, -14.49,  -9.05, -12.57,  -5.43, -14.80, -13.55, -11.61, -10.18,  -5.62, -21.48, -16.00, -10.25,  -6.06,  -4.23
193101,  26.82,  19.05,  20.44,  12.39,  20.71,  23.52,  16.27,  10.02,  15.26,  15.96,  16.04,  10.31,  13.46,   8.83,   6.26,  13.02,  11.49,   7.13,   6.52,   5.25,  22.93,   8.57,   7.34,   4.23,   5.80
193102,  33.87,  21.38,  24.62,  40.09,   7.40,  21.17,  15.79,  12.87,  12.35,   5.65,  17.04,  20.14,  15.10,  11.90,  11.32,  30.05,  13.34,  14.67,   8.37,   4.60,  43.21,  22.36,  15.16,  10.28,   7.35
193103,  -8.54,  -3.06,  -2.29, -15.48,  10.75, -14.30,  -4.12,  -1.35,  -8.21,   0.36, -15.79,  -8.25,  -7.32,  -5.29,  -0.42, -16.70, -12.89, -10.44,  -6.56,  -0.08, -14.86, -10.96,  -7.28,  -6.60,  -4.11
193104, -23.31, -22.22, -13.15, -15.22, -16.30, -20.11, -20.65, -18.43, -10.94, -10.27, -20.96, -17.53, -15.72, -17.21, -11.41, -20.68, -15.81, -17.91, -10.80,  -8.28, -15.81, -20.19, -12.62,  -9.65,  -5.08
193105, -17.93,  -9.31, -13.77, -11.63,   0.53, -18.57, -15.36, -14.02,  -7.58,  -8.69, -22.20, -16.23, -15.80, -11.99,  -6.81, -25.21, -22.46, -17.47, -11.90, -10.30, -14.88, -14.09, -14.92, -13.41, -10.93
193106,  25.68,  19.67,  29.24,  10.51,  28.09,  29.92,  16.34,  18.01,   9.15,   7.81,  30.81,  23.12,  13.35,  10.02,   7.68,  40.80,  30.44,  23.43,  11.32,   8.94,  39.29,  20.92,  16.79,  13.53,  10.21
193107,  -9.99, -11.30,  -3.23,   0.64,  -7.24, -10.94,  -8.75,  -4.62,  -4.35,  -2.83, -15.87, -11.60,  -6.53,  -7.64,  -3.09, -12.15, -14.32,  -7.03,  -1.74,  -3.43, -16.48, -10.89,  -9.70,  -6.24,  -3.38
193108,  -5.58,  -8.45,  -7.06,   2.73,   1.87,   2.32,  -1.65,  -1.70,  -4.50,  -4.45,  -6.62,  -1.35,   0.61,  -4.48,   0.66,   8.31,  -1.17,  -0.58,  -3.05,  -0.42,   0.31,   5.14,   1.55,  -2.80,   0.74
193109, -34.95, -31.71, -30.75, -20.44, -35.66, -39.54, -35.69, -30.40, -36.00, -26.66, -39.42, -34.23, -31.96, -30.99, -25.45, -38.50, -36.14, -29.92, -33.88, -21.34, -40.53, -29.31, -30.28, -29.62, -26.39
193110,   7.16,  15.78,   6.21,  10.20,  22.75,  16.34,  13.06,   5.28,  10.45,  17.31,   7.73,  10.99,  11.43,  10.92,  16.20,   4.36,  13.47,   6.88,   8.93,  10.59,  -0.11,   1.78,   7.92,   8.39,  10.07
193111, -12.51,  -8.16,  -9.10, -12.79,  -5.48, -11.37, -11.85,  -5.23, -10.55,  -6.86, -17.01, -14.93,  -3.55,  -5.35,  -3.44, -20.82, -15.94,  -9.65,  -2.09,  -2.55, -16.04,  -9.68, -13.25,  -7.32,  -6.63
193112, -28.24, -22.62, -16.11, -19.45, -22.95, -27.11, -21.17, -24.47, -10.59, -13.78, -25.80, -21.50, -20.85, -13.14,  -9.05, -29.63, -24.38, -14.70, -10.62,  -2.54, -25.32, -22.09, -16.76, -11.13, -10.08
193201,  27.37,  25.30,  26.73,   6.62,   7.76,  12.03,  11.93,  22.51,   1.26,   1.84,  17.66,   2.09,   1.57,   3.59,   1.04,  18.78,  -2.36,   1.53,   1.14,  -1.23,  10.05,   2.83,  -2.23,  -3.99,  -0.14
193202,  -0.88,   0.11,  -1.40,   5.29,   1.83,   2.48,  -1.88,   0.09,   6.24,   7.06,  -1.01,  -0.91,  -0.16,  -2.25,   1.57,  -4.86,   1.12,  10.28,   4.80,   1.91,   7.62,   4.47,   5.80,   7.70,   4.82
193203, -14.94, -17.12, -11.67,  -5.27,  -7.18, -16.46, -11.11, -15.20, -14.80,  -6.21, -24.42, -14.82, -14.47,  -6.70,  -7.90, -22.49, -10.71, -11.86, -14.03,  -6.02, -22.54, -18.37, -12.96, -10.90,  -6.39
193204, -19.61, -19.53, -16.81, -23.46, -22.18, -26.53, -19.58, -17.39, -16.95, -14.42, -23.42, -11.91, -21.65, -16.86, -16.09, -24.06, -21.48, -15.86, -19.69, -10.84, -18.38, -23.56, -21.10, -21.01, -13.14
193205,  -6.93,  -6.84, -14.19, -11.86,  -8.88, -26.86, -23.72, -23.33, -18.03, -19.21, -33.66, -25.87, -22.67, -23.94, -17.57, -35.64, -30.39, -23.57, -23.56, -19.35, -42.39, -25.58, -25.75, -17.18, -16.75
193206,  -1.43,   1.10,   1.13,  -3.35,  -3.43,   4.56,   8.91,   7.41,  -7.51,   8.78,   2.46,   5.15,   5.12,   2.34,  11.64,   9.11,   4.75,   5.64,   3.94,   3.78,   0.60,  -7.74,  -3.07,  -3.18,   4.60
193207,  53.52,  59.81,  45.46,  15.21,   7.21,  72.36,  64.24,  38.10,  27.85,  14.93,  78.62,  60.46,  37.61,  28.84,  18.70,  76.76,  45.68,  39.13,  29.93,  23.55,  78.59,  57.46,  44.94,  32.63,  18.62
193208, 111.23, 100.41,  99.03,  78.46,  74.35,  98.05,  68.08,  67.42,  49.52,  54.74,  95.34,  63.96,  65.67,  34.16,  23.87, 115.60,  72.00,  39.51,  35.80,  24.98,  74.52,  51.08,  54.69,  28.58,  21.24
193209,  -4.53, -19.24,  -4.48, -19.17, -24.73, -11.14,  -9.10,  -3.86, -13.21,  -8.42, -10.13,  -5.11,  -2.75,  -5.81,  -1.29, -10.60,   0.15,  -0.19,  -5.31,   0.16,  -3.03,   0.02,  -4.55,  -2.15,  -5.15
193210, -14.23, -21.02, -16.58, -21.52, -20.71, -16.45, -15.70, -21.25, -12.35, -19.44, -16.10, -17.72, -14.37, -17.97, -24.48, -22.10, -21.66, -14.68, -13.51, -13.28, -18.36, -17.53,  -9.88, -10.74,  -8.95
193211,  -9.94,  -3.00,  -7.85,  -1.95,  -8.59,  -6.85,  -8.79,  -8.28,  -7.55, -11.81,  -9.02,  -7.17,  -9.79,  -6.77,  -9.17, -10.16,  -6.57,  -5.00,  -5.96,  -3.04,  -8.69,  -8.14,  -2.27,  -4.79, -13.83
193212, -12.50, -17.05, -13.75, -12.36,  -3.60, -15.30,  -6.23,  -7.56, -11.51,  -6.06,  -6.37,  -6.14,  -5.61,  -2.36,   3.83,  -2.34,   1.58,   1.11,  -0.57,   4.89,   6.56,   4.76,   5.46,   5.26,   5.49
193301,   8.57,  10.63,   3.63,  10.30,  -5.95,   3.55,   7.31,   4.53,   5.10,   2.01,   6.41,   6.62,   3.23,  11.30,   7.11,  -2.45,   5.75,   2.90,  -0.38,   2.77,   1.76,   3.49,   0.60,  -0.49,   2.20
193302, -15.85, -20.60, -13.21, -17.22,  -7.75, -15.73, -22.02, -15.73, -14.56, -14.65, -20.64, -20.60, -18.34, -16.14, -18.03, -19.89, -22.85, -16.68, -13.22, -11.73, -22.70, -19.68, -14.52, -12.54, -16.62
193303,   9.61,  10.56,  26.79,   8.19,  18.73,   6.24,   5.35,  22.72,  15.99,  23.45,   2.23,   7.30,   8.47,  11.61,   3.64,  -7.67,  12.61,   7.27,  10.17,  12.74,  17.69,   7.59,   3.46,  -1.78,   7.29
193304,  58.22,  62.85,  56.07,  84.50,  53.87,  61.66,  52.32,  34.72,  58.45,  43.33,  60.65,  63.36,  55.51,  39.01,  35.78,  72.37,  60.80,  59.64,  63.43,  37.33,  49.01,  57.71,  42.88,  29.50,  30.18
193305,  97.68, 124.52, 118.46, 122.91,  89.74,  84.15,  86.69,  57.89,  85.66,  71.11,  57.85,  51.89,  48.30,  48.07,  41.73,  34.68,  30.02,  40.48,  32.21,  29.72,  27.79,  15.53,  18.65,  18.77,  17.76
193306,  38.60,  36.46,  22.30,  45.09,  31.65,  13.38,  29.85,  27.79,  17.55,  14.37,  12.03,  17.74,  16.02,  15.18,  17.97,  14.56,  15.33,  13.26,  13.47,  19.83,  11.51,  10.27,   9.95,  14.80,  17.33
193307, -13.15,  -6.68,  -3.16,  -4.58,  -6.73,  -8.18,  -5.29,  -5.23, -12.51, -12.28, -15.23, -15.63, -15.29, -14.52, -16.63,  -9.79, -10.89, -13.14,  -5.71, -12.91,  -7.82,  -9.68, -12.93,  -9.14,  -9.79
193308,  -7.20,  12.94,   3.24,  11.10,   6.81,   8.17,   7.96,  12.23,   0.30,  12.62,   7.94,  14.18,  18.86,  16.50,  12.49,  14.04,  14.01,  15.51,  20.95,  24.23,   5.08,  12.16,  16.54,  18.99,  24.17
193309, -18.26, -23.11, -17.61, -20.10, -15.60, -15.74, -17.40, -12.18, -16.28, -19.76, -18.84, -16.34, -15.12, -15.12, -16.83, -22.98, -15.46,  -9.98, -11.10,  -8.94, -13.40,  -8.29,  -6.43, -11.79, -10.86
193310,  -6.97, -15.89,  -6.61, -14.67, -11.93, -13.32,  -8.37, -16.93, -11.16, -12.82, -12.16, -10.02, -11.11, -14.05, -14.39, -12.49, -12.23, -12.60,  -8.31, -10.65,  -7.44,  -8.22,  -7.66,  -8.38,  -6.54
193311,   3.01,  10.56,   6.17,  12.96,  -0.59,  -0.92,   4.42,   7.63,   7.05,   9.47,   5.47,   8.82,   5.75,   9.40,   5.93,   4.33,   9.54,   8.00,  12.67,   9.40,  -0.22,  12.26,   9.07,  16.56,   8.45
193312,  -0.62,   3.31,  -0.64,   0.78,   2.88,  -4.33,   2.56,  -1.18,   9.64,  -1.91,   1.11,   3.94,   7.65,   7.89,   7.19,  -1.69,   4.16,   4.44,   2.02,   3.83,   2.83,  -1.30,  -0.43,   5.73,   4.84
193401,  65.96,  53.29,  51.05,  42.36,  41.00,  35.83,  43.07,  42.15,  35.07,  41.46,  29.09,  32.56,  32.55,  25.78,  24.39,  28.77,  17.47,  15.46,  18.06,  16.77,  14.23,   9.30,   9.86,  10.94,   6.10
193402,   2.00,  13.33,  11.03,   2.33,   5.28,   2.91,   0.55,  -2.85,   3.62,   5.27,   0.47,   0.95,   1.35,   0.56,   0.98,  -3.53,  -2.71,  -0.52,  -1.86,  -0.92,  -0.27,  -2.87,  -3.59,  -4.20,  -3.64
193403,   4.09,   0.83,  -1.37,  -1.37,  -0.02,   1.66,   2.71,  -1.94,   3.24,  -0.59,  -5.55,   0.77,  -1.60,   1.83,   1.32,  -0.92,   0.55,   0.77,   2.80,   2.62,  -0.01,  -0.20,  -0.38,   0.56,  -0.08
193404,  -0.88,  23.43,   8.17,   2.96,   1.33,   4.94,   0.91,   1.46,   0.25,  -4.38,  -0.28,   3.90,  -1.63,  -2.31,  -4.44,   1.13,   1.48,  -2.06,  -7.07,  -7.18,  -0.27,  -2.40,  -2.11,  -3.64,  -9.33
193405, -13.67, -13.77,  -9.67, -14.42, -17.23, -13.55,  -8.79, -13.08, -13.77,  -8.28, -10.35, -11.64, -12.75,  -9.57, -14.19,  -6.86,  -8.85, -10.35,  -9.01,  -9.75,  -5.86,  -5.17,  -9.78,  -6.63, -10.09
193406,   0.20,  -5.83,  -2.48,   1.41,  -5.74,  -4.05,  -2.27,   1.11,   0.50,  -2.34,  -3.01,   0.37,   0.82,   3.59,   1.05,   2.45,   3.85,   3.28,   3.54,   0.77,   5.12,   3.03,   2.74,   1.13,   4.01
193407, -23.63, -20.85, -25.69, -27.51, -24.88, -23.75, -24.29, -26.55, -23.39, -20.29, -24.27, -25.48, -18.18, -18.23, -13.49, -26.74, -18.59, -15.03, -10.25, -12.27, -18.37, -15.02,  -9.32,  -7.67,  -6.16
193408,  14.08,  17.23,  14.36,  12.14,  14.59,   7.48,   7.65,   9.06,  21.58,  17.53,   7.31,   9.70,   7.78,   9.60,  13.39,   5.19,  11.36,   7.28,   4.55,  10.30,   0.78,   6.24,   4.82,   5.42,   5.61
193409,  -5.49,  -0.50,   0.37,   5.32,   0.10,  -3.75,  -2.97,  -1.73,  -0.78,  -3.48,   1.46,  -2.32,  -3.81,  -1.25,  -0.25,   2.62,  -2.32,  -2.10,   0.81,   0.03,  -0.36,   0.39,  -0.52,   0.10,  -0.20
193410,  -8.16,  -4.01,  -4.65,   3.96,  -0.25,  -3.61,  -4.87,  -6.57,   6.62,   3.86,  -7.65,  -7.09,  -2.08,   0.67,  -0.52,  -5.65,  -2.93,  -1.85,  -1.00,   2.37,  -5.34,  -4.58,  -1.54,  -2.05,   2.68
193411,  12.73,  17.15,  10.82,  26.88,  20.92,   9.50,  15.14,  21.53,  18.47,  18.17,  10.11,  16.53,  13.44,  13.73,  13.33,  13.58,   7.07,  11.42,  11.64,  12.86,  10.54,   6.90,   5.93,   8.94,  10.27
193412,  -4.37,  -1.20,   0.48,  -4.90,   8.50,  -1.14,   0.05,   0.01,   5.47,   6.67,  -1.88,   2.11,   4.83,   1.75,   3.62,   0.40,   1.00,   1.45,   1.62,   4.66,  -4.15,  -0.28,   0.57,  -0.83,   1.89
193501,   1.21,   0.87,   1.15,  -3.33,  -2.69,  -1.99,  -6.50,  -5.85,  -4.26,  -5.84, -10.13,  -2.34,  -6.66,  -3.87,  -2.14,  -9.38,  -8.46,  -4.36,  -2.85,  -0.90,  -5.32,  -6.09,  -2.82,  -1.97,  -0.49
193502, -14.95, -12.02,  -5.81,   3.13,  -5.20, -15.27,  -9.80,  -5.50,  -1.12,  -1.02, -21.21,  -4.98,  -7.44,   0.25,   2.61, -12.90,  -9.00,  -3.89,   0.16,   4.44, -14.27,  -7.79,  -3.87,  -0.47,   3.72
193503, -13.39, -11.68, -11.03, -12.17, -10.95, -15.95,  -9.45,  -8.76,  -7.30,  -8.10,  -8.05, -12.20,  -6.16,  -4.31,  -3.26,  -4.95,  -1.55, -10.28,  -3.22,  -3.75,   5.33,  -8.15,  -2.73,  -2.73,  -3.86
