,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
193310, -13.94,  -9.06, -11.68, -16.13,  25.00, -14.48, -13.32, -11.07, -12.88, -14.54, -20.53, -10.57, -15.27, -10.81,  -7.31, -17.24, -17.71, -15.82,  -9.38,  -7.78,  -5.00, -12.09, -11.38,  -8.12,  -6.96
193311,   3.84,   6.03,  13.72,   5.87, -44.66,   1.90,   7.17,   2.00,  10.44,  -1.15,   8.64,   7.68,   9.00,  11.29,   7.97,  12.01,  15.14,   9.76,  10.87,   6.16,  -1.75,  11.61,  18.33,  15.37,   6.32
193312,  -0.87,   5.81,  -1.95,  -4.85,   6.70,  -4.24,  -2.73,   1.96,   5.60,  -6.15,   5.79,   1.12,  11.75,   3.87,   3.13,   2.27,   2.76,   2.45,   3.85,   0.74, -99.99,   2.03,   2.11,   4.75,  -0.16
193401,  53.76,  57.16,  44.12,  51.55,  28.69,  51.82,  37.24,  37.52,  42.62,  30.32,  41.10,  46.07,  28.96,  16.00,   8.90,  24.80,  26.62,  20.31,  22.89,   6.46, -99.99,  19.86,  12.22,  13.52,   7.55
193402,  11.98,   1.91,   0.46,  -3.23,   1.85,   0.04,   1.90,  -1.87,  -0.26,   1.83,   1.00,   2.43,   4.80,   0.58,  -0.79,   1.05,  -0.80,  -1.40,  -3.00,  -1.67,  -6.37,  -1.89,  -3.89,  -3.30,  -1.95
193403,  -2.38,  -1.75,   0.97,   3.30,  18.66,   1.10,   1.72,   4.10,   0.66,   0.68,   0.03,  -1.93,  -0.07,  -3.13,   3.91,  -0.46,   2.95,   0.00,  -0.46,   1.04,   1.43,  -0.59,  -0.15,   0.08,   0.19
193404,  -0.89,   2.71,  12.27,   0.67,   4.55,  -3.98,   2.83,   0.35,  -0.71,   2.75,  -4.70,  -3.69,   1.41,   1.17,   2.92, -10.67,  -0.72,  -3.63,  -2.52,   1.55,  -1.93,  -5.84,  -5.29,  -2.50,  -0.06
193405, -18.33, -14.08, -10.01, -10.77, -18.30,  -9.55, -17.17, -11.24,  -8.51,  -7.62, -14.97, -16.32, -11.02,  -8.51,  -1.68,  -9.97, -12.94, -12.41,  -6.67,  -3.33,  -8.06, -11.44, -10.94,  -8.99,  -3.96
193406,  -5.35,  -0.44,  -1.86,  -2.66,   2.08,  -7.57,  -0.38,   0.64,  -1.32,   5.50,  -2.23,   2.32,  -0.61,  -0.40,   5.70,  -5.60,   1.44,   4.87,   4.73,   6.27,  -2.37,   4.26,   3.81,   1.96,   2.72
193407, -22.24, -29.09, -24.04, -23.18, -27.56, -26.12, -24.44, -25.43, -25.71, -16.57, -25.65, -26.99, -19.82, -13.42, -10.20, -27.91, -23.83, -16.78, -14.09,  -5.28, -28.04, -23.60, -14.68, -10.08,  -4.59
193408,  14.77,  10.54,  13.25,  23.09,   8.86,  12.71,  13.26,   9.78,  14.37,   6.18,  14.72,  10.92,   9.32,   6.10,   7.16,  17.52,  10.27,   7.09,   9.74,   3.99,  11.07,  10.70,   5.63,   5.52,   3.52
193409,  -1.26,   1.41,   0.87,  -6.13,  -1.40,  -2.88,  -3.65,  -5.57,  -2.58,   1.76,  -1.67,  -1.94,  -0.19,  -2.20,  -0.27,  -2.80,  -1.03,  -0.30,  -1.64,   0.90,  -0.87,   2.14,   0.15,  -0.05,  -0.48
193410,   2.94,  -3.19, -11.42,  -4.21,  -8.11,   0.52,  -4.44,  -1.06,  -0.16,  -4.30,  -7.40,  -5.90,  -4.97,   0.90,   1.07,  -8.82,  -4.35,  -3.72,  -0.94,   1.04,  -9.97,  -5.75,  -4.18,  -1.59,   1.26
193411,  20.63,  16.71,  23.72,  15.42,  10.43,  12.74,  19.79,  17.77,  14.36,  20.68,  14.06,  16.02,  14.72,  13.20,   7.14,   6.05,  14.56,  15.76,  13.72,   8.61,   5.04,  10.52,  10.60,   6.40,   7.42
193412,  -1.30,  -0.93,   3.62,  -6.70,  -4.95,   5.07,  -1.92,   3.12,   1.61,   3.09,  -1.39,   3.92,   2.28,   4.05,   1.23,  -6.36,   0.70,   2.31,   4.71,   1.58,  -8.60,  -0.03,   0.06,  -0.11,   0.15
193501,   0.87,  -0.80,  -1.18,  -5.72,   1.41,  -6.38,  -2.05,  -3.03,  -5.41,  -6.93,  -8.62,  -2.23,  -3.99,  -5.73,  -4.32, -10.15,  -9.51,  -4.44,  -3.62,  -2.49,  -8.26,  -7.50,  -3.49,  -2.44,  -3.07
193502,  -8.51, -11.63, -11.62, -16.23,  -6.01, -12.72,  -6.27,  -5.71,  -7.16,  -3.44, -12.76,  -5.07, -10.91,  -1.20,  -0.21, -11.06,  -8.52,  -4.68,  -0.50,   2.13, -11.58,  -7.55,  -4.09,  -0.34,   0.22
193503, -14.28, -10.19,  -9.37,  -9.58, -14.96,  -9.86, -13.21, -10.50,  -6.75, -11.59,  -4.92, -13.08,  -5.83,  -7.09,  -6.35,   1.38,  -8.83,  -6.09,  -6.50,  -3.08,  -1.90,  -3.18,  -2.08,  -2.51,  -4.91
193504,  11.42,  10.15,  13.63,  23.17,   6.45,  16.31,  10.21,   9.39,   9.32,   4.79,  17.07,   6.17,  11.89,   9.52,   9.02,  11.47,  12.00,   8.06,   3.29,   6.22,  16.18,   8.51,  12.12,  10.23,   5.70
193505,  -3.15,   6.86,  -0.55,  -1.00,   1.96,   5.00,  -1.82,   0.99,   5.44,   7.61,   8.45,  -0.49,   0.63,   1.01,   3.04,  14.43,   3.50,   0.97,   0.98,   0.24,   9.94,   4.77,   3.68,   3.99,   2.87
193506,  -1.42,   0.03,  -2.11,  -6.06,  -2.25,  -1.62,   1.92,   6.71,   1.21,   8.44,   2.93,   8.07,  10.75,   7.39,   3.61,   6.28,   9.77,   7.00,   4.65,   5.45,  13.29,   6.23,   7.98,   5.44,   4.79
193507,  14.73,  14.91,  19.53,  13.33,  14.19,  15.51,  14.52,  17.02,  14.38,   6.60,  19.47,  12.41,  14.18,   7.19,   0.58,  16.04,  14.31,   6.29,   5.88,   2.24,  18.02,  12.30,   7.68,   6.62,   4.42
193508,  23.12,  17.85,  12.25,  13.27,   6.43,  11.84,  12.20,   3.96,   5.81,   7.10,  24.39,   8.53,   1.93,   1.95,   0.94,  10.00,   6.38,   4.20,   1.66,  -0.62,  14.96,   3.18,   2.44,   2.70,  -0.27
193509,  -0.98,   1.19,   2.98,   6.03,  -2.76,  -1.81,   6.37,   4.82,   3.01,   0.63,  -2.02,   6.17,   8.19,   5.30,   1.76,  -2.90,   3.79,   2.46,   2.53,   1.14,   1.03,   3.91,   2.69,   2.94,   1.78
193510,   6.48,  10.21,  16.20,  11.84,   7.04,  13.37,  20.24,   7.83,   5.92,   2.48,   8.92,   9.31,   8.92,   9.45,   4.37,   8.17,  10.63,   9.15,   5.88,   2.49,  11.89,   8.56,   8.50,   5.92,   5.45
193511,  36.22,  27.87,  27.44,  17.46,  17.97,  21.36,  18.13,  13.43,   6.26,  18.66,   7.84,  12.63,  12.73,   5.49,   9.85,  12.09,  10.14,   4.44,   4.85,   1.76,   5.20,   8.16,   4.54,   4.14,   2.66
193512,  -0.76,   1.21,   1.99,   0.30,   8.55,   4.71,   7.20,  10.85,   7.33,   9.22,   4.17,  11.34,  12.71,   2.99,   4.05,  10.39,  11.14,   8.63,   6.39,   0.96,   7.43,   4.92,   3.42,   3.22,   3.06
193601,  47.70,  22.72,  18.29,  24.97,  12.94,  28.81,  17.29,   7.37,   8.90,   6.41,  22.99,   8.14,   7.83,   7.20,   6.10,  13.60,   7.26,   6.49,   5.90,   2.94,  13.99,   7.83,   6.44,   4.93,   3.78
193602,   7.23,   3.01,  12.92,  14.25,   0.05,   5.19,   3.75,   7.56,   4.62,   9.63,  -0.69,  11.96,   9.91,   3.77,   1.65,   3.55,   8.26,   4.01,  -1.40,  -0.07,   3.42,   1.67,   3.71,   1.33,   2.61
193603,  -1.68,  -1.11,  -7.28,  12.80,   7.96,  -3.30,   4.63,   1.16,   0.53,   3.81,   0.90,   1.32,   2.88,   1.70,   2.47,   1.28,   4.35,  -0.79,   4.55,   0.10,   0.00,  -2.31,  -2.14,   4.57,   0.17
193604, -23.04, -19.00, -17.22, -14.90, -16.77, -21.02, -15.49, -11.74,  -8.52,  -9.42, -15.14, -12.79, -13.76,  -6.70,  -6.39, -12.60, -16.15,  -9.86, -11.07,  -5.62, -10.27,  -8.41,  -8.00,  -7.11,  -5.42
193605,   9.69,   5.85,   6.60,   2.26,   2.98,   8.42,   1.59,   4.31,   5.23,   2.51,   8.36,  10.06,   5.27,   3.37,   1.56,  10.48,   1.64,   6.28,   1.55,   2.74,   8.59,   6.81,   5.48,   4.23,   6.92
193606,  -3.15,  -0.17,   0.48,  -1.33,  -1.25,  -2.85,  -1.55,  -1.43,  -0.86,   1.38,   0.88,   0.79,   0.53,  -0.22,   0.57,  -1.80,  -3.00,   1.83,   0.42,   0.79,   2.67,   2.11,   2.83,   3.37,   3.31
193607,   7.18,  12.55,   6.82,  11.81,   5.84,   7.34,  10.59,   9.76,   8.41,   7.27,  12.88,   7.90,  14.16,   6.92,   6.70,  13.85,  10.00,   8.81,   8.77,   3.70,  11.18,  11.52,   5.61,   4.97,   6.47
193608,   2.04,   4.88,   0.48,   7.19,  -2.91,   1.36,   5.02,   2.67,  -0.13,  -0.54,   3.50,   5.71,   0.52,   3.67,   2.73,   3.67,   1.43,   3.60,   3.51,   1.42,   0.50,   2.16,   2.09,  -0.52,   0.03
193609,   3.74,   7.65,   4.05,   1.52,   1.11,   6.12,   3.92,   4.80,   2.96,   1.85,   9.11,   6.46,   4.13,   1.44,   2.22,   0.87,   1.93,   1.57,   1.58,   2.55,  -1.42,  -1.04,  -0.24,   1.50,   2.94
193610,   7.53,   5.33,   9.40,   3.01,   7.77,   7.09,   8.07,   7.17,   5.88,   6.55,   6.80,   7.55,   7.97,   4.97,   1.89,   4.58,   9.42,   5.02,   4.67,   4.05,   6.41,   8.77,   8.37,   7.09,   5.81
193611,  11.49,  21.45,  26.15,  10.85,   8.29,   6.53,  11.79,   9.16,  14.16,   6.59,   1.31,  12.67,   8.20,   8.49,   7.02,   5.96,   4.40,   7.30,   9.04,   2.92,  -2.51,  -1.76,   3.04,   3.14,   4.96
193612,   0.85,  -1.14,  10.00,   4.34,   2.03,  10.31,   4.69,   6.19,  -1.16,  -0.06,   5.44,   7.10,   2.80,   3.87,  -0.64,   0.23,  -3.77,   5.22,   3.28,   4.47,  -1.62,   2.21,   0.77,  -2.46,  -2.01
193701,  14.22,   9.37,  26.73,  16.52,  11.97,   6.63,   7.93,   7.15,   3.27,  13.55,  13.29,   4.34,   7.48,   8.42,   5.31,   5.63,   9.14,   3.44,   8.40,   3.62,   1.97,   4.67,   0.38,   4.32,   2.03
193702,   2.02,   9.33,  28.46,   4.03,  -4.53,   6.64,  -0.72,   6.33,   3.37,   0.82,   0.16,   5.10,   1.68,   4.85,   1.72,   1.72,   4.64,  -0.29,   2.09,   3.25,   3.02,  -1.22,   2.39,  -0.57,   1.68
193703,   0.41,   2.36,   2.91,  -1.71,   5.93,  -3.32,   3.55,  -0.82,  -4.32,  -2.71,  -5.85,  -3.04,  -3.70,   3.38,   1.85,  -4.95,   4.87,   0.84,  -0.78,   1.36,   0.36,  -1.63,  -0.75,   1.42,   0.48
193704, -14.79, -15.45, -10.87, -13.68, -14.84, -12.43, -11.01, -14.01, -13.30, -10.99,  -8.51,  -8.80,  -9.01, -11.23,  -6.57, -10.93,  -6.01, -11.11,  -9.28,  -7.94,  -8.95,  -5.23,  -6.10,  -8.97,  -7.59
193705,  -5.42,  -2.75,  -6.50,  -1.16,  -2.11,  -5.20,  -3.14,  -1.54,   1.26,  -2.33,  -4.12,  -3.47,  -2.86,  -0.37,  -1.39,  -6.56,  -4.16,  -0.45,  -1.20,   1.91,  -3.18,  -0.97,  -0.88,   1.67,   0.02
193706, -10.82, -10.00, -11.22,  -9.62, -14.81, -13.24,  -8.97,  -9.03,  -8.07,  -9.21, -10.73,  -6.57,  -6.79, -10.66,  -6.66,  -6.40,  -5.93,  -5.42,  -5.68,  -3.64,  -4.26,  -1.08,  -4.02,  -5.14,  -4.71
193707,  10.43,  11.33,  14.74,  15.52,  11.73,   9.99,  10.40,   9.18,  10.47,  12.60,  11.27,   7.35,   8.53,   9.04,  11.63,   8.18,   8.58,   9.26,   8.28,   7.74,  11.96,   7.56,   8.61,   7.63,  12.19
193708,  -6.23,  -7.85,  -5.99,  -5.33, -10.47,  -6.27,  -4.70,  -5.28,  -5.22,  -3.49,  -6.20,  -5.95,  -5.09,  -4.90,  -2.83,  -7.19,  -4.34,  -4.82,  -4.81,  -3.03,  -5.85,  -4.81,  -8.19,  -3.44,  -2.96
193709, -22.25, -26.89, -24.97, -20.92, -27.68, -26.70, -21.11, -20.95, -22.27, -21.23, -23.20, -21.63, -21.21, -19.46, -20.99, -16.34, -18.67, -19.00, -19.40, -18.88, -13.81, -13.00, -10.35, -15.36, -11.51
193710,  -7.87,  -8.68,  -9.73,  -8.46,  -9.08, -12.03, -11.65, -10.25,  -9.74, -15.71,  -9.87, -11.27,  -8.60,  -9.34, -11.76,  -7.13,  -8.35,  -9.92, -10.62, -11.40,  -7.05,  -7.97,  -8.00, -11.08, -12.36
193711, -14.15, -18.13, -11.37, -15.79, -15.17, -12.39,  -8.49, -15.16, -13.74, -10.87, -10.92,  -9.04, -11.06, -10.34, -13.49,  -9.81,  -7.81,  -9.73, -12.91, -13.00,   0.83,  -6.88,  -5.99, -10.33, -11.51
193712, -16.12, -14.06, -17.61, -15.54, -16.22, -18.71,  -6.60, -11.39, -12.32, -14.24, -13.21, -10.81, -13.08, -12.73, -14.32, -11.45,  -5.35,  -8.88,  -8.29,  -4.43,  -8.23,  -2.52,  -1.95,  -4.03,  -4.28
193801,   1.41,  10.45,   8.25,   7.90,  10.32,   2.33,   3.45,   4.56,   6.70,   5.62,   3.12,   5.31,   9.45,   6.60,   3.71,   3.42,   3.34,   2.90,   1.78,   0.38,  -1.20,   0.21,  -0.60,   1.35,  -0.73
193802,   3.65,   0.93,  -1.64,   8.44,   6.21,   6.00,   5.22,   7.30,   9.26,   8.64,   9.18,   5.17,   6.81,   7.92,   8.50,   4.18,   7.53,   4.18,  10.63,  10.57,   4.30,   4.48,   6.97,   5.55,   8.24
193803, -32.17, -32.61, -28.33, -36.39, -36.82, -24.45, -29.37, -30.11, -34.34, -36.29, -29.60, -31.93, -23.72, -28.81, -34.84, -20.93, -28.27, -27.37, -31.68, -35.25, -17.57, -22.85, -25.49, -25.63, -30.10
193804,  26.41,  29.65,  24.19,  17.83,  30.00,  21.04,  23.13,  21.42,  25.63,  28.47,  24.36,  21.72,  15.68,  20.24,  25.61,  14.25,  15.03,  19.51,  22.42,  25.90,  13.19,  14.38,  10.82,  14.82,  18.00
193805,  -6.73,  -4.53,  -8.78,  -6.76, -11.56, -11.22,  -6.46,  -5.34,  -8.41, -11.19,  -8.10,  -0.61,  -5.91, -10.77,  -7.54,  -3.90,  -3.71,  -5.06, -10.73, -11.37,   1.53,  -1.69,  -5.22,  -7.63,  -2.95
193806,  29.51,  33.66,  40.28,  33.84,  46.48,  37.97,  29.59,  31.30,  36.31,  37.42,  30.87,  29.29,  26.78,  46.02,  39.64,  22.07,  21.44,  27.59,  36.30,  35.66,  15.70,  15.71,  18.26,  30.84,  31.81
193807,  12.59,  18.56,  19.27,  14.21,  18.85,  13.46,  17.00,  17.85,  13.72,  14.83,   8.97,  14.07,  10.37,  11.65,  16.10,  14.01,  14.77,   8.18,  11.96,  13.02,   0.70,   6.02,   3.01,   8.19,   9.45
193808, -12.23, -11.95, -10.43,  -7.74,  -6.50,  -7.73,  -7.61,  -7.95,  -5.17,  -2.75,  -8.51,  -8.80,  -6.81,  -6.31,  -5.41,  -7.26,  -3.97,  -6.77,  -2.29,  -2.97,  -5.37,  -3.08,  -2.90,   0.11,  -3.88
193809,   0.62,  -4.40,  -3.23,  -2.96,  -3.65,  -6.17,  -0.98,  -2.38,  -0.71,  -3.42,  -1.91,  -2.30,   0.67,  -1.98,  -2.13,  -1.87,  -0.84,  -1.22,  -0.49,  -1.56,   1.47,   0.18,   1.47,   1.49,   1.84
193810,  19.77,  17.34,  15.23,   9.96,  12.46,  25.05,  18.21,  18.89,  17.41,  17.61,  18.94,  12.44,   9.38,  10.14,  11.39,  18.82,  17.77,  12.73,  13.68,  11.90,  10.74,   7.54,   5.22,   6.83,   7.99
193811,  -6.14,  -9.66,  -3.98,  -2.66,  -5.21,  -8.69,  -6.24,  -2.76,  -0.24,  -6.02,  -3.05,  -2.59,  -3.49,  -1.47,  -4.88,  -4.08,  -1.48,  -2.08,  -4.00,  -1.84,  -7.38,  -4.74,  -0.52,  -0.65,  -2.48
193812,  -1.86,  -1.53,   3.79,  -4.56,   0.86,  -1.68,   7.74,   2.40,   6.13,   6.27,   3.84,   3.75,   3.99,   4.88,   5.71,   8.23,   3.07,   6.38,   6.85,   6.91,   7.36,   5.61,   3.36,   4.40,   2.97
193901,  -8.38,  -4.52,  -7.24, -10.31,  -9.86, -12.88, -11.02,  -8.98,  -7.36,  -6.91,  -7.25,  -6.23,  -7.87,  -7.55, -11.21, -11.80,  -2.51,  -7.27,  -8.62, -10.69,  -7.83,  -5.62,  -6.61,  -3.44,  -7.62
193902,   2.60,   2.24,   1.91,   7.00,   5.57,   5.67,   6.20,   4.52,   2.85,   4.23,   6.50,   3.15,   4.80,   3.44,   4.44,   6.69,   4.59,   4.01,   4.59,   4.18,   9.27,   6.42,   3.69,   3.54,   1.54
193903, -20.81, -20.69, -20.92,  -9.02, -18.66, -24.25, -18.70, -20.63, -18.36, -15.78, -29.97, -17.50, -17.11, -15.41, -19.05, -26.20, -16.49, -16.26, -16.61, -18.26, -22.18, -17.44, -12.35,  -7.24, -13.13
